Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Have you completed this demographics page before?,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""gym,"" clarify which specific activity you did at the gym.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?
,,02/05/2018 02:05:33 PM,02/05/2018 02:12:51 PM,,,,,,,"Vero Beach, FL",USA,1961,Graduate degree,Female,spin,spinning,I do not feel hindered or do not have a physical disability.,swim,breaststroke,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,Both are of roughly equal complexity.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q9}} feels effortless compare to {{Q6}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,01/18/2018 08:51:42 PM,01/18/2018 09:12:08 PM,,,,,,,Wilmington North Carolina ,United States,1997,Some college but no degree,Male,basketball,pick up 5 0n 5 basketball ,I do not feel hindered or do not have a physical disability.,football ,american football with friends ,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,
,,01/17/2018 01:19:56 AM,01/17/2018 01:32:36 AM,,,,,,,"Lloydminster, Alberta",Canada,1997,Some college but no degree,Male,Basketball,"Including drills that each individual player compete with one another, 5 vs 5 exhibition",I do not feel hindered or do not have a physical disability.,Soccer,Regular soccer game with 11 players on each team,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,Both admit roughly the same amount of creativity.,{{Q6}} is somewhat more complex than {{Q9}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q6}} is somewhat more rewarding than {{Q9}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,01/15/2018 12:36:24 AM,01/15/2018 12:45:06 AM,,,,,,,"Arroyo Grande, CA",USA,1996,Associate degree,Female,basketball,pick-up basketball games (5 on 5),I do not feel hindered or do not have a physical disability.,running,long distance jogging (3-10 miles),I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Beginner,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,{{Q9}} permits much more control than {{Q6}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,01/14/2018 11:57:44 PM,01/14/2018 11:58:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,01/12/2018 12:45:57 PM,01/12/2018 12:51:07 PM,,,,,,,"Kingsland, GA",USA,,"High school degree or equivalent (e.g., GED)",Male,Baseball,I play infield for my baseball team.,I do not feel hindered or do not have a physical disability.,Gym,I participate in a weightlifting program every week day.,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is somewhat more complex than {{Q9}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,12/17/2017 02:48:30 AM,12/17/2017 02:54:24 AM,,,,,,,"Orange, CA",USA,1998,"High school degree or equivalent (e.g., GED)",Female,running,I ran through a suburban neighborhood/commercial area,I do not feel hindered or do not have a physical disability.,Swimming,I swam laps at a gym lap pool,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,Both are of roughly equal complexity.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,Both have roughly equal stakes.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,12/13/2017 10:15:18 PM,12/13/2017 10:34:10 PM,,,,,,,Pittsburgh ⠠⠠⠏⠁,⠠⠠⠥⠎⠁,1998,"High school degree or equivalent (e.g., GED)",Female,rock ⠉⠇⠊⠍⠃⠬,I participated in indoor rock climbing in my high school ⠛⠽⠍⠲,I feel slightly hindered.,⠽⠕⠛⠁,more of a Pilates or exercise ⠽⠕⠛⠁,I feel slightly hindered.,Solo,Group,Competent amateur,Beginner,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is much more complex than {{Q6}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits much more control than {{Q9}}.,{{Q6}} brings me into the present much more than {{Q9}}.,{{Q6}} feels effortless compare to {{Q9}} where I have to struggle and force myself.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q9}}, I am much more concerned about others' evaluations than during {{Q6}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,12/07/2017 10:56:11 AM,12/07/2017 10:57:13 AM,,,,,,,t,t,1996,Some college but no degree,Male,football,football,I do not feel hindered or do not have a physical disability.,soccer,soccer,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,
,,12/07/2017 10:45:24 AM,12/07/2017 10:49:50 AM,,,,,,,"montclair, new jersey",USA,1995,Bachelor degree,Male,basketball,basketball,I do not feel hindered or do not have a physical disability.,football,football,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q6}} is somewhat more predictable than {{Q9}}.,Both offer roughly equal novelty.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q9}} brings me into the present much more than {{Q6}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,12/06/2017 10:52:49 PM,12/06/2017 10:58:56 PM,,,,,,,"Macon, Georgia",United States,1996,Some college but no degree,Female,Cross Country,Running outside,I do not feel hindered or do not have a physical disability.,Volleyball,Indoor Volleyball,I do not feel hindered or do not have a physical disability.,Solo,Group,Beginner,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q9}} is much more complex than {{Q6}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,Both offer roughly equally immediate feedback.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,{{Q6}} permits much more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",{{Q9}} is much more rewarding than {{Q6}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,12/03/2017 06:43:55 PM,12/03/2017 06:52:54 PM,,,,,,,"Blacksburg, VA",USA,1999,Some college but no degree,Female,Tennis,Singles and doubles tennis,I do not feel hindered or do not have a physical disability.,Hockey,Field Hockey,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Beginner,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,{{Q6}} is somewhat more complex than {{Q9}}.,Both have equally clear goals.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is much more rewarding than {{Q9}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.
,,11/29/2017 09:31:20 PM,11/29/2017 09:31:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/29/2017 02:47:12 PM,11/29/2017 02:48:52 PM,,,,,,,Toronto ,Canada ,1998,"High school degree or equivalent (e.g., GED)",Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/22/2017 01:23:56 PM,11/22/2017 01:26:03 PM,,,,,,,Liberty Indiana,US of A,2000,Less than high school degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/18/2017 02:35:18 AM,11/18/2017 02:45:44 AM,,,,,,,"Ile Ife, Osun state",Nigeria,1994,"High school degree or equivalent (e.g., GED)",Male,Running,Running on some kilometres,,Football,play for school team,,Solo,Group,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q9}} has much higher stakes than {{Q6}}.,"During {{Q9}}, I am much more concerned about others' evaluations than during {{Q6}}.",{{Q9}} is much more rewarding than {{Q6}}.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,The chance of serious physical injury is roughly equal.
,,11/14/2017 07:22:29 PM,11/14/2017 07:39:32 PM,,,,,,,"Siloam Springs, Arkansas",USA,1996,Some college but no degree,Female,Golf,,,Volleyball,"Recreational, not competitive, volleyball",,Solo,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is somewhat more complex than {{Q9}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} has much more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a lot more waiting than {{ Q9}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",Both are roughly equally rewarding.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
,,11/13/2017 08:41:49 AM,11/13/2017 09:19:44 AM,,,,,,,"ILE-IFE, OSUN-STATE",NIGERIA,1989,"High school degree or equivalent (e.g., GED)",Male,Martials Arts,I practice taekwondo. It is a type of martial arts that involves shouting a lot for stimulating the player. It is accompanied with different forms of risk and body could be damaged atimes.,I do not feel hindered or do not have a physical disability.,Swimming,"It is a style of swimming that you do on your front, moving your arms and legs away from your body.",I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q9}} offers a much more novelty than {{Q6}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits somewhat more control than {{Q9}}.,{{Q6}} brings me into the present much more than {{Q9}}.,,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is much more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,11/11/2017 08:13:06 PM,11/11/2017 08:13:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/11/2017 07:52:08 PM,11/11/2017 08:11:32 PM,,,,,,,New Jersey,USE,1999,"High school degree or equivalent (e.g., GED)",Male,Baseball,,I do not feel hindered or do not have a physical disability.,Basketball,,I feel slightly hindered.,Group,,Expert or professional,Expert or professional,{{Q9}} requires somewhat more skill than {{Q6}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,{{Q9}} admits somewhat more creativity than {{Q6}}.,Both are of roughly equal complexity.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q9}} has much more immediate feedback than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q9}} involves somewhat more of my body than {{Q6}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,{{Q9}} has much more chance of serious physical injury compare to {{Q6}}.
