Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""gym,"" clarify which specific activity you did at the gym. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?,"Did you read all of the instructions and questions carefully? In your honest opinion, should we use your data in our analyses?"
,,03/01/2018 10:14:53 AM,03/01/2018 10:18:05 AM,,,,,,Salt Lake City,Utah,1984,Bachelor degree,Female,gym,Strength training with the use of weight machines,I do not feel hindered or do not have a physical disability.,martial arts,Chinese Kenpo,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q8}} permits much more control than {{Q5}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q8}} has much higher stakes than {{Q5}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,03/01/2018 09:57:07 AM,03/01/2018 10:01:02 AM,,,,,,FLORIDA & USA,ASIA,1992,Bachelor degree,Male,SWIMMING ,"YOGA, GYM",I do not feel hindered or do not have a physical disability.,GYM,CRICKET,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Expert or professional,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both have equally clear goals.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,Both involve about the same amount of waiting.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:44:14 AM,03/01/2018 09:57:41 AM,,,,,,RICHMOND,USA,1990,Bachelor degree,Female,SWIMMING,CRICKET INDIAN CRICKET,I do not feel hindered or do not have a physical disability.,RUNNING,TENNIS INDOOR TENNIS,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Expert or professional,Both require roughly equal skill.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q8}} permits much more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels like less effort than {{Q5}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,03/01/2018 09:52:56 AM,03/01/2018 09:55:00 AM,,,,,,"benson,arizona",usa,1992,Associate degree,Male,gym,cardio,I do not feel hindered or do not have a physical disability.,running,jogging ,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,Both admit roughly the same amount of creativity.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:51:28 AM,03/01/2018 09:52:53 AM,,,,,,WASHINGTON,USA,1993,Bachelor degree,Female,RUNNING,MARTIAL ARTS,I feel slightly hindered.,FOOTBALL,SOCCER,I feel slightly hindered.,Solo,Group,Beginner,Expert or professional,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,03/01/2018 09:33:54 AM,03/01/2018 09:54:23 AM,,,,,,RICHMOND,USA,1990,Graduate degree,Male,SWIMMING,TENNIS INDOOR TENNIS,I do not feel hindered or do not have a physical disability.,RUNNING,CRICKET INDIAN CRICKET,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Expert or professional,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q8}} admits somewhat more creativity than {{Q5}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,03/01/2018 09:48:19 AM,03/01/2018 09:51:24 AM,,,,,,WASHINGTON,USA,1993,Bachelor degree,Female,RUNNING,MARTIAL ARTS,I feel slightly hindered.,FOOTBALL,SOCCER,I feel slightly hindered.,Solo,Group,Beginner,Expert or professional,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,03/01/2018 09:48:14 AM,03/01/2018 09:52:03 AM,,,,,,ALASKA,USA,1992,Bachelor degree,Male,RUNNNING,GYM.I DO TREADMILL RUNNING,I do not feel hindered or do not have a physical disability.,HOCKEY,ICE HOCKEY,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has much higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:42:59 AM,03/01/2018 09:56:26 AM,,,,,,FLORIDA,USA,1989,Graduate degree,Male,RUNNING  AND RELAY RUNNING,TENNIS. PLAY WITH WELL PLAYED PLAYERS. BETTER THAN ME,I do not feel hindered or do not have a physical disability.,SKATING,"GYM, JOKING IN THREAD MILL",I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Competent amateur,Both require roughly equal skill.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:31:19 AM,03/01/2018 09:38:49 AM,,,,,,NEW YORK,USA,1992,Bachelor degree,Male,CYCLING,GOOD HEALTH,I feel slightly hindered.,RUNNING,GOOD,I feel slightly hindered.,Solo,Group,Beginner,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,{{Q5}} permits much more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,{{Q8}} has somewhat higher stakes than {{Q5}}.,,Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,The chance of serious physical injury is roughly equal.,Yes
