id,end,ip,city,country,born,edu,work,sex,rel,msNotAny,msNotSelf,msMet,msAccident,msShared,msCause,msTeach,msEvery,msPay,msTrainTeach,boreFidget,boreCheer,boreLone,wantLearn,freqCause,pctSuccess,freqAccident,durationCharacter,maxDuration,religion,re.desc,re.ms.pf,re.b.pf,re.subjTime,re.ms.gi,re.b.gi,spiritual,spiritual.desc,sp.ms.pf,sp.b.pf,sp.subjTime,sp.ms.gi,sp.b.gi,ps.ms.pf,ps.b.pf,ps.subjTime,ps.ms.gi,ps.b.gi,rx.ms.pf,rx.b.pf,rx.subjTime,rx.ms.gi,rx.b.gi,pe.desc,pe.ms.pf,pe.b.pf,pe.subjTime,pe.ms.gi,pe.b.gi,wo.ms.pf,wo.b.pf,wo.subjTime,wo.ms.gi,wo.b.gi,meditation,me.ms.pf,me.b.pf,me.subjTime,me.ms.gi,me.b.gi,dd.ms.pf,dd.b.pf,dd.subjTime,dd.ms.gi,dd.b.gi,flow.desc,flow.think,fl.ms.pf,fl.b.pf,ms.flow,flow.ms,fl.subjTime,fl.ms.gi,fl.b.gi,m.training,m.training.desc,m.regular,m.desc,comment
1868971309,"06/06/2012 08:57:49",AS;India;Delhi;Delhi,"Lucknow, Uttar Pradesh",India,1952,"Graduate degree",Consultant,Male,,Disagree,Disagree,Disagree,Agree,Disagree,Agree,,Disagree,,Disagree,False,False,False,"I know how to cause myself to experience complete mental silence.",Daily,99,"I don't experience complete mental silence accidentally","Mostly continuous (e.g. usually ten seconds or longer)","1-2 minutes",No,,,,,,,Yes,"Physical, Vital and meditation","Every time","Not at all","I am unaware of actual time.",Important,Inappropriate,,,,,,,,,,,Yoga,Frequently,"Almost never","Subjective time is somewhat faster than actual time.",Important,"Somewhat inappropriate",,,,,,Yes,"Every time","Not at all","Subjective time is somewhat faster than actual time.",Important,Inappropriate,,,,,,Meditation,None,"Every time","Not at all",,Yes,"Subjective time is somewhat faster than actual time.",Important,Inappropriate,No,,Yes,"Starts with physical, followed by vital some silent chanting of mantras followed by experience of awareness, what you are calling mental silence, I call it NO MIND STATE.","Look your survey is not concern with breath, where as breath is an integral part of no mind situation. A normal person takes about 16 respiration (1 inhalation+ 1 exhalation). Same may become ""Zero"" during meditation or during the flow activity, whereas same will exceed 30 during sexited and excited state. Besides this, breath has 2 characteristics namely - frequency  and quality. The quality varies from silent to very coarse, which becomes loud during anger and other excited states. I personally feel any study on mental silence must have questions to frequency and quality of breath."
1868884536,"06/06/2012 06:11:03","NA;United States;North Carolina;High Point","Thomasville, NC","United States",1987,"Some college but no degree",Student,Female,,"Disagree somewhat","Disagree somewhat",Disagree,"Not sure",Disagree,Disagree,Disagree,"Agree somewhat",,Disagree,True,False,True,Yes,"I don't try to cause myself to experience complete mental silence",0,"I don't experience complete mental silence accidentally","I have not experienced complete mental silence","I have not experienced complete mental silence",Yes,Baptist-Christian,"Not at all","Almost never","Subjective time is somewhat slower than actual time.",Important,Inappropriate,No,,,,,,,"Not at all",Infrequently,"Subjective time is somewhat faster than actual time.","Somewhat important",Inappropriate,"Not at all",Frequently,"Subjective time is typical.","Somewhat important","Somewhat inappropriate","Swimming, Sit-Ups","Not at all","Not at all","Subjective time is somewhat slower than actual time.","Somewhat important","Somewhat inappropriate","Not at all",Frequently,"Subjective time is somewhat faster than actual time.","Somewhat inappropriate","Somewhat inappropriate",No,,,,,,"Not at all",Frequently,"Subjective time is typical.",Important,"Somewhat inappropriate",p90X,"A little thinking","Not at all",Infrequently,Yes,"Not sure / maybe","Subjective time is somewhat slower than actual time.","Somewhat inappropriate","Somewhat inappropriate",No,,No,,
1868828083,"06/06/2012 04:27:05",AS;India;Maharashtra;Mumbai,"nasik maharashtra",india,1952,"Graduate degree",doctor,Male,,Agree,"Not sure",Agree,"Agree somewhat",Agree,Disagree,Agree,Agree,,Agree,True,False,True,Yes,Daily,80,Daily,"Mostly continuous (e.g. usually ten seconds or longer)","More than 10 minutes",Yes,"h h",Frequently,"Almost never","I am unaware of actual time.",Important,Inappropriate,Yes,"sahajyoga  meditation","Every time","Not at all","I am unaware of actual time.",Important,,Frequently,Infrequently,"I am unaware of actual time.",Important,Inappropriate,Infrequently,Infrequently,"Subjective time is somewhat faster than actual time.",Important,Inappropriate,walk,Infrequently,Infrequently,"Subjective time is somewhat slower than actual time.",Important,Inappropriate,Infrequently,Infrequently,"I am unaware of actual time.","Somewhat important","Not sure",Yes,Frequently,"Almost never","I am unaware of actual time.",Important,Inappropriate,"Not at all",Frequently,"Subjective time is somewhat faster than actual time.","Not sure","Somewhat inappropriate",medition,None,"Every time","Not at all",Yes,Yes,"I am unaware of actual time.",,,Yes,sahajyoga,Yes,,
1868660182,"06/06/2012 00:29:28","OC;Australia;Victoria;Burwood East","Melbourne, Victoria",Australia,1950,"Graduate degree",Writer/Researcher,Male,,Agree,Agree,"Not sure",Agree,Agree,"Agree somewhat","Agree somewhat","Agree somewhat",,"Agree somewhat",True,False,"Not sure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868244753,"06/05/2012 19:11:11",EU;Spain;Madrid;Madrid,Madrid,Spain,1989,"Some college but no degree",Student,Female,,"Not sure",Disagree,Disagree,"Agree somewhat",Disagree,"Not sure",Disagree,"Agree somewhat",,Disagree,True,False,"Not sure",Yes,Weekly,10,Weekly,"Mostly continuous (e.g. usually ten seconds or longer)","1-2 minutes",No,,,,,,,No,,,,,,,Infrequently,Frequently,"I am unaware of actual time.","Somewhat important","Somewhat inappropriate",Frequently,"Not at all","Subjective time is somewhat faster than actual time.",Important,Inappropriate,Rowing,"Almost never","Almost never","Subjective time is somewhat faster than actual time.","Not sure",Inappropriate,"Almost never",Infrequently,"Subjective time is typical.",Inappropriate,Inappropriate,No,,,,,,"Almost never","Not at all","Subjective time is somewhat faster than actual time.","Somewhat inappropriate",Inappropriate,"Playing games","Some moderate thinking","Not at all","Not at all","Not sure / maybe","Not sure / maybe","I am unaware of actual time.","Somewhat inappropriate",Inappropriate,No,,No,,
1865994489,"06/04/2012 06:23:26",OC;Australia;Victoria;Footscray,"Geelong, VIC",Australia,,"Some college but no degree",Receptionist,Female,,"Agree somewhat",Agree,Disagree,Disagree,Disagree,Disagree,Disagree,"Disagree somewhat",,Disagree,True,False,False,Yes,"I don't try to cause myself to experience complete mental silence",0,"I don't experience complete mental silence accidentally","I have not experienced complete mental silence","I have not experienced complete mental silence",No,,,,,,,No,,,,,,,"Not at all","Not at all","I am unaware of actual time.",Inappropriate,Inappropriate,,,,,,Swimming,"Not at all",Infrequently,"I am watching the clock.","Not sure","Somewhat inappropriate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865885226,"06/04/2012 02:29:57","NA;United States;Kentucky;Louisville","Louisville, Kentucky",USA,1988,"Some college but no degree","FedEx Part-time Dock Worker/Student",Male,,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,,Disagree,True,False,True,"Not sure",Infrequently,0,"I don't experience complete mental silence accidentally","I have not experienced complete mental silence","I have not experienced complete mental silence",Yes,Catholicism,"Not at all",Infrequently,"Subjective time is somewhat slower than actual time.",Inappropriate,Inappropriate,Yes,"Pray every night before I go to bed.","Not at all","Not at all","I am unaware of actual time.",Inappropriate,Inappropriate,"Not at all","Not at all","Subjective time is somewhat faster than actual time.","Not sure",Inappropriate,"Not at all","Not at all","I am unaware of actual time.","Not sure","Not sure","Playing  baseball.","Not at all","Not at all","Subjective time is somewhat faster than actual time.","Not sure",Inappropriate,"Not at all","Almost never","Subjective time is typical.","Not sure","Not sure",No,,,,,,"Not at all","Not at all","I am unaware of actual time.","Not sure","Not sure",Working,"Rigorous, intensive thinking","Not at all","Not at all",No,No,"Subjective time is typical.","Not sure","Not sure",No,,No,,"This was a neat survey. Definitely different from others I have participated in."
1865343718,"06/03/2012 04:27:20","NA;United States;Illinois;Chicago","Chicago IL",USA,1985,"Graduate degree","School administrator",Male,,"Disagree somewhat","Agree somewhat","Not sure","Agree somewhat","Not sure","Disagree somewhat","Disagree somewhat","Disagree somewhat",,"Disagree somewhat","Not sure",False,"Not sure",Yes,"I don't try to cause myself to experience complete mental silence",,Infrequently,"Sometimes moments and sometimes continuous (e.g. isolated seconds and sometimes ten seconds or longer)","10 seconds",No,,,,,,,No,,,,,,,Infrequently,"Almost never","Subjective time is somewhat faster than actual time.","Somewhat important","Somewhat inappropriate",Infrequently,"Almost never","Subjective time is typical.","Somewhat important",Inappropriate,running,"Almost never",Frequently,"Subjective time is somewhat slower than actual time.","Somewhat inappropriate","Not sure","Almost never","Almost never","Subjective time is somewhat faster than actual time.","Not sure","Not sure",No,,,,,,"Almost never","Almost never","Subjective time is somewhat faster than actual time.","Somewhat important","Not sure","flute playing","Rigorous, intensive thinking",Infrequently,"Not at all","Not sure / maybe","Probably not","Subjective time is somewhat faster than actual time.","Not sure","Not sure",No,,No,,
1865279405,"06/03/2012 01:15:35","NA;United States;Ohio;Mansfield","Shepherd, MI",USA,1995,"Less than high school degree","High School Student",Male,,Disagree,Disagree,Disagree,"Agree somewhat","Agree somewhat",Disagree,Disagree,Agree,,Disagree,True,"Not sure",False,Yes,"I don't try to cause myself to experience complete mental silence",0,Infrequently,"Mostly continuous (e.g. usually ten seconds or longer)","10 seconds",No,,,,,,,No,,,,,,,Frequently,"Not at all","I am unaware of actual time.","Somewhat important",Inappropriate,Infrequently,"Not at all","I am unaware of actual time.","Somewhat important",Inappropriate,running,Frequently,"Not at all","I am unaware of actual time.","Somewhat important",Inappropriate,Infrequently,Frequently,"Subjective time is somewhat slower than actual time.","Somewhat important",Important,No,,,,,,Frequently,"Not at all","I am unaware of actual time.","Somewhat important",Inappropriate,"thinking- I like to think abouy music and about physcology/sociology; mainly thinking about how other people think and human interaction. By music it generally means playing instruments","Rigorous, intensive thinking",Frequently,"Not at all","Not sure / maybe","Not sure / maybe","I am unaware of actual time.","Somewhat important",Inappropriate,,,,,
1865278929,"06/03/2012 01:03:31","NA;United States;Ohio;Mansfield","Shepherd, MI",USA,1995,"Less than high school degree","High School Student",Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865018444,"06/02/2012 17:13:43",AS;India;Maharashtra;Pune,"Pune Maharashtra",India,1979,"Bachelor degree","Head of Contracts Dept. (Le Meridien)",Male,,Disagree,Disagree,Agree,"Agree somewhat",Agree,Agree,Agree,Agree,,Agree,True,False,True,"I know how to cause myself to experience complete mental silence.",Daily,98,Daily,"Mostly continuous (e.g. usually ten seconds or longer)","1-2 minutes",No,,,,,,,No,,,,,,,Frequently,Infrequently,"Subjective time is somewhat faster than actual time.",Important,Inappropriate,Frequently,"Almost never","Subjective time is typical.",Important,Inappropriate,Walking,Frequently,Infrequently,"Subjective time is typical.",Important,Inappropriate,Frequently,"Almost never","Subjective time is somewhat faster than actual time.",Important,Inappropriate,Yes,Frequently,"Almost never","Subjective time is typical.",Important,Inappropriate,"Not at all","Not at all","Subjective time is typical.",Inappropriate,"Not sure",Work,"A little thinking",Frequently,"Almost never",Yes,"Not sure / maybe","Subjective time is typical.",Important,Inappropriate,Yes,"Sahaja Yoga Meditation",Yes,http://sahajayoga.org/experienceitnow/default.asp,
1865017271,"06/02/2012 16:30:26",EU;Greece;Attiki;Athens,"Herakleion, Crete",Greece,1988,"Graduate degree","Master's Student",Male,,"Disagree somewhat",Disagree,"Not sure",Agree,"Not sure",Agree,"Disagree somewhat","Agree somewhat",,Disagree,False,False,True,"I know how to cause myself to experience complete mental silence.",Infrequently,70,Weekly,"Mostly continuous (e.g. usually ten seconds or longer)","More than 10 minutes",No,,,,,,,Yes,"Kick boxing","Every time","Not at all","I am unaware of actual time.",Important,Inappropriate,Frequently,Infrequently,"I am unaware of actual time.",Important,Inappropriate,"Almost never",Frequently,"Subjective time is typical.","Somewhat important","Somewhat inappropriate",,Frequently,"Not at all","I am unaware of actual time.","Somewhat important",Inappropriate,Frequently,"Almost never","Subjective time is somewhat faster than actual time.",Important,Inappropriate,No,,,,,,"Every time","Not at all","I am unaware of actual time.",Important,"Not sure","Video games","Some moderate thinking","Every time","Not at all",Yes,Yes,"I am unaware of actual time.","Somewhat important","Somewhat inappropriate",No,,No,,
1863845558,"06/01/2012 15:36:28",AS;India;Maharashtra;Mumbai,"Nasik and maharashtra",India,1983,"Graduate degree","Mechanical Engineer",Male,,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,,Agree,True,False,"Not sure","I know how to cause myself to experience complete mental silence.","I don't try to cause myself to experience complete mental silence",75,Infrequently,"Sometimes moments and sometimes continuous (e.g. isolated seconds and sometimes ten seconds or longer)","1-2 minutes",Yes,hindu,"Every time","Almost never","Subjective time is somewhat slower than actual time.",Important,Inappropriate,Yes,"inviting people for event, preparing the pooja","Every time","Not at all","Subjective time is somewhat slower than actual time.","Somewhat important","Somewhat inappropriate","Every time",Infrequently,"I am unaware of actual time.",Important,Important,"Not at all",Frequently,"Subjective time is somewhat slower than actual time.","Somewhat inappropriate","Not sure","skipping + sun salutation","Every time",,"I am unaware of actual time.",Important,Inappropriate,"Not at all","Not at all","I am unaware of actual time.",Important,Inappropriate,Yes,Frequently,"Almost never","Subjective time is typical.",Important,Inappropriate,"Almost never","Not at all","Subjective time is somewhat slower than actual time.",Inappropriate,Inappropriate,"visualization, prachar prasar of sjy, co-ordination","Rigorous, intensive thinking","Not at all","Not at all",Yes,Yes,"I am unaware of actual time.","Somewhat important",Inappropriate,Yes,"daily training of sahajayoga",Yes,"10 min in mrng and 5-6 min in evng",no
1863542212,"06/01/2012 11:51:29","NA;United States;Montana;Missoula","Missoula, MT",USA,1992,"Some college but no degree",Student,Female,,Disagree,Disagree,Disagree,"Agree somewhat",Disagree,"Not sure","Not sure","Agree somewhat",,Disagree,True,"Not sure",False,Yes,Infrequently,,Weekly,"Sometimes moments and sometimes continuous (e.g. isolated seconds and sometimes ten seconds or longer)","10 seconds",No,,,,,,,No,,,,,,,"Almost never",Infrequently,"Subjective time is somewhat slower than actual time.","Not sure","Somewhat inappropriate",Infrequently,Frequently,"Subjective time is typical.",Important,Inappropriate,,Frequently,Frequently,"Subjective time is somewhat faster than actual time.","Somewhat important",Inappropriate,Infrequently,"Every time","I am watching the clock.","Not sure",Inappropriate,Yes,Frequently,Infrequently,"I am unaware of actual time.",Important,Inappropriate,Frequently,"Almost never","I am unaware of actual time.","Somewhat important","Somewhat inappropriate",dancing,"A little thinking",Frequently,"Almost never",Yes,"Yes, somewhat","Subjective time is somewhat faster than actual time.","Not sure",Inappropriate,No,,No,,
1863281389,"06/01/2012 05:13:40","NA;United States;California;San Jose","Sacramento CA",USA,1990,"Bachelor degree","Grad Student",Female,,Disagree,Disagree,Disagree,"Agree somewhat",Disagree,Disagree,Disagree,Agree,,Disagree,True,False,"Not sure",Yes,"I don't try to cause myself to experience complete mental silence",0,Infrequently,"Mostly continuous (e.g. usually ten seconds or longer)","1-2 minutes",,,,,,,,,,,,,,,"Almost never",Frequently,"Subjective time is somewhat slower than actual time.","Not sure","Somewhat important",,,,,,elliptical,Infrequently,Frequently,"Subjective time is typical.","Somewhat inappropriate","Somewhat important",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
